species	length	name
PSEX	2353	PSEXGNG27640
PSEX	523	PSEXGNG27641
PSEX	125	PSEXGNG27642
PSEX	573	PSEXGNG27643
PSEX	99	PSEXGNG27644
PSEX	574	PSEXGNG27645
PSEX	686	PSEXGNG27646
PSEX	193	PSEXGNG27647
PSEX	1232	PSEXGNG27648
PSEX	249	PSEXGNG27649
PSEX	331	PSEXGNG27650
PSEX	234	PSEXGNG27651
PSEX	37	PSEXGNG27652
PSEX	127	PSEXGNG27653
PSEX	201	PSEXGNG27654
PSEX	568	PSEXGNG27655
PSEX	770	PSEXGNG27656
PSEX	32	PSEXGNG27657
PSEX	458	PSEXGNG27658
PSEX	170	PSEXGNG27659
PSEX	351	PSEXGNG27660
PSEX	52	PSEXGNG27661
PSEX	339	PSEXGNG27662
PSEX	860	PSEXGNG27663
PSEX	29	PSEXGNG27664
PSEX	94	PSEXGNG27665
PSEX	328	PSEXGNG27666
PSEX	23	PSEXGNG27667
PSEX	104	PSEXGNG27668
PSEX	373	PSEXGNG27669
PSEX	18	PSEXGNG27670
PSEX	503	PSEXGNG27671
PSEX	6089	PSEXGNG27672
PSEX	1042	PSEXGNG27673
PSEX	46	PSEXGNG27674
PSEX	747	PSEXGNG27675
PSEX	39	PSEXGNG27676
PSEX	248	PSEXGNG27677
PSEX	726	PSEXGNG27678
PSEX	718	PSEXGNG27679
PSEX	347	PSEXGNG27680
PSEX	23	PSEXGNG27681
PSEX	118	PSEXGNG27682
PSEX	68	PSEXGNG27683
PSEX	515	PSEXGNG27684
PSEX	1391	PSEXGNG27685
PSEX	461	PSEXGNG27686
PSEX	247	PSEXGNG27687
PSEX	773	PSEXGNG27688
PSEX	474	PSEXGNG27689
PSEX	283	PSEXGNG27690
PSEX	8	PSEXGNG27691
PSEX	9	PSEXGNG27692
PSEX	570	PSEXGNG27693
PSEX	815	PSEXGNG27694
PSEX	2049	PSEXGNG27695
PSEX	53	PSEXGNG27696
PSEX	71	PSEXGNG27697
PSEX	877	PSEXGNG27698
PSEX	1139	PSEXGNG27699
PSEX	837	PSEXGNG27700
PSEX	518	PSEXGNG27701
PSEX	128	PSEXGNG27702
PSEX	175	PSEXGNG27703
PSEX	60	PSEXGNG27704
PSEX	245	PSEXGNG27705
PSEX	88	PSEXGNG27706
PSEX	33	PSEXGNG27707
PSEX	316	PSEXGNG27708
PSEX	754	PSEXGNG27709
PSEX	1969	PSEXGNG27710
PSEX	120	PSEXGNG27711
PSEX	254	PSEXGNG27712
PSEX	1383	PSEXGNG27713
PSEX	1975	PSEXGNG27714
PSEX	141	PSEXGNG27715
PSEX	613	PSEXGNG27716
PSEX	14	PSEXGNG27717
PSEX	3317	PSEXGNG27718
PSEX	410	PSEXGNG27719
PSEX	442	PSEXGNG27720
PSEX	1042	PSEXGNG27721
PSEX	430	PSEXGNG27722
PSEX	6723	PSEXGNG27445
PSEX	292	PSEXGNG27446
PSEX	210	PSEXGNG27447
PSEX	887	PSEXGNG27448
PSEX	322	PSEXGNG27449
PSEX	61	PSEXGNG27450
PSEX	268	PSEXGNG27451
PSEX	51	PSEXGNG27452
PSEX	547	PSEXGNG27453
PSEX	66	PSEXGNG27454
PSEX	149	PSEXGNG27455
PSEX	72	PSEXGNG27456
PSEX	127	PSEXGNG27457
PSEX	122	PSEXGNG27458
PSEX	60	PSEXGNG27459
PSEX	293	PSEXGNG27460
PSEX	231	PSEXGNG27461
PSEX	65	PSEXGNG27462
PSEX	276	PSEXGNG27463
PSEX	93	PSEXGNG27464
PSEX	291	PSEXGNG27465
PSEX	84	PSEXGNG27466
PSEX	57	PSEXGNG27467
PSEX	459	PSEXGNG27468
PSEX	85	PSEXGNG27469
PSEX	115	PSEXGNG27470
PSEX	438	PSEXGNG27471
PSEX	169	PSEXGNG27472
PSEX	136	PSEXGNG27473
PSEX	174	PSEXGNG27474
PSEX	464	PSEXGNG27475
PSEX	721	PSEXGNG27476
PSEX	341	PSEXGNG27477
PSEX	89	PSEXGNG27478
PSEX	262	PSEXGNG27479
PSEX	96	PSEXGNG27480
PSEX	145	PSEXGNG27481
PSEX	77	PSEXGNG27482
PSEX	487	PSEXGNG27483
PSEX	87	PSEXGNG27484
PSEX	120	PSEXGNG27485
PSEX	226	PSEXGNG27486
PSEX	704	PSEXGNG27487
PSEX	1307	PSEXGNG27488
PSEX	1822	PSEXGNG27489
PSEX	675	PSEXGNG27490
PSEX	30	PSEXGNG27491
PSEX	128	PSEXGNG27492
PSEX	792	PSEXGNG27493
PSEX	643	PSEXGNG27494
PSEX	30	PSEXGNG27495
PSEX	22	PSEXGNG27496
PSEX	1283	PSEXGNG27497
PSEX	61	PSEXGNG27498
PSEX	976	PSEXGNG27499
PSEX	41	PSEXGNG27500
PSEX	231	PSEXGNG27501
PSEX	153	PSEXGNG27502
PSEX	98	PSEXGNG27503
PSEX	165	PSEXGNG27504
PSEX	121	PSEXGNG27505
PSEX	19	PSEXGNG27506
PSEX	23	PSEXGNG27507
PSEX	70	PSEXGNG27508
PSEX	29	PSEXGNG27509
PSEX	32	PSEXGNG27510
PSEX	152	PSEXGNG27511
PSEX	37	PSEXGNG27512
PSEX	648	PSEXGNG27513
PSEX	91	PSEXGNG27514
PSEX	43	PSEXGNG27515
PSEX	377	PSEXGNG27516
PSEX	23	PSEXGNG27517
PSEX	16	PSEXGNG27518
PSEX	85	PSEXGNG27519
PSEX	105	PSEXGNG27520
PSEX	10	PSEXGNG27521
PSEX	886	PSEXGNG27522
PSEX	348	PSEXGNG27523
PSEX	46	PSEXGNG27524
PSEX	177	PSEXGNG27525
PSEX	56	PSEXGNG27526
PSEX	64	PSEXGNG27527
PSEX	76	PSEXGNG27528
PSEX	28	PSEXGNG27529
PSEX	52	PSEXGNG27530
PSEX	289	PSEXGNG27531
PSEX	165	PSEXGNG27532
PSEX	183	PSEXGNG27533
PSEX	2609	PSEXGNG27534
PSEX	2300	PSEXGNG27535
PSEX	356	PSEXGNG27536
PSEX	524	PSEXGNG27537
PSEX	1015	PSEXGNG27538
PSEX	943	PSEXGNG27539
PSEX	39	PSEXGNG27540
PSEX	21	PSEXGNG27541
PSEX	489	PSEXGNG27542
PSEX	574	PSEXGNG27543
PSEX	3391	PSEXGNG27544
PSEX	168	PSEXGNG27545
PSEX	144	PSEXGNG27546
PSEX	46	PSEXGNG27547
PSEX	111	PSEXGNG27548
PSEX	17	PSEXGNG27549
PSEX	24	PSEXGNG27550
PSEX	54	PSEXGNG27551
PSEX	22	PSEXGNG27552
PSEX	61	PSEXGNG27553
PSEX	20	PSEXGNG27554
PSEX	29	PSEXGNG27555
PSEX	450	PSEXGNG27556
PSEX	181	PSEXGNG27557
PSEX	824	PSEXGNG27558
PSEX	372	PSEXGNG27559
PSEX	83	PSEXGNG27560
PSEX	163	PSEXGNG27561
PSEX	651	PSEXGNG27562
PSEX	234	PSEXGNG27563
PSEX	49	PSEXGNG27564
PSEX	32	PSEXGNG27565
PSEX	494	PSEXGNG27566
PSEX	2464	PSEXGNG27567
PSEX	357	PSEXGNG27568
PSEX	799	PSEXGNG27569
PSEX	461	PSEXGNG27570
PSEX	435	PSEXGNG27571
PSEX	8	PSEXGNG27572
PSEX	418	PSEXGNG27573
PSEX	41	PSEXGNG27574
PSEX	1623	PSEXGNG27575
PSEX	139	PSEXGNG27576
PSEX	411	PSEXGNG27577
PSEX	231	PSEXGNG27578
PSEX	2196	PSEXGNG27579
PSEX	275	PSEXGNG27580
PSEX	623	PSEXGNG27581
PSEX	6443	PSEXGNG27851
PSEX	1253	PSEXGNG27852
PSEX	95	PSEXGNG27853
PSEX	28	PSEXGNG27854
PSEX	22	PSEXGNG27855
PSEX	50	PSEXGNG27856
PSEX	92	PSEXGNG27857
PSEX	421	PSEXGNG27858
PSEX	38	PSEXGNG27859
PSEX	161	PSEXGNG27860
PSEX	1441	PSEXGNG27861
PSEX	1021	PSEXGNG27862
PSEX	119	PSEXGNG27863
PSEX	11	PSEXGNG27864
PSEX	75	PSEXGNG27865
PSEX	882	PSEXGNG27866
PSEX	130	PSEXGNG27867
PSEX	186	PSEXGNG27868
PSEX	11	PSEXGNG27869
PSEX	94	PSEXGNG27870
PSEX	233	PSEXGNG27871
PSEX	613	PSEXGNG27872
PSEX	174	PSEXGNG27873
PSEX	102	PSEXGNG27874
PSEX	53	PSEXGNG27875
PSEX	374	PSEXGNG27876
PSEX	1496	PSEXGNG27877
PSEX	176	PSEXGNG27878
PSEX	323	PSEXGNG27879
PSEX	841	PSEXGNG27880
PSEX	21	PSEXGNG27881
PSEX	243	PSEXGNG27882
PSEX	22	PSEXGNG27883
PSEX	40	PSEXGNG27884
PSEX	252	PSEXGNG27885
PSEX	52	PSEXGNG27886
PSEX	4	PSEXGNG27887
PSEX	663	PSEXGNG27888
PSEX	244	PSEXGNG27889
PSEX	644	PSEXGNG27890
PSEX	799	PSEXGNG27891
PSEX	139	PSEXGNG27892
PSEX	1230	PSEXGNG27893
PSEX	448	PSEXGNG27894
PSEX	244	PSEXGNG27895
PSEX	52	PSEXGNG27896
PSEX	159	PSEXGNG27897
PSEX	31	PSEXGNG27898
PSEX	111	PSEXGNG27899
PSEX	162	PSEXGNG27900
PSEX	1814	PSEXGNG27901
PSEX	5	PSEXGNG27902
PSEX	146	PSEXGNG27903
PSEX	1080	PSEXGNG27904
PSEX	14	PSEXGNG27905
PSEX	59	PSEXGNG27906
PSEX	679	PSEXGNG27907
PSEX	68	PSEXGNG27908
PSEX	36	PSEXGNG27909
PSEX	1549	PSEXGNG27910
PSEX	28	PSEXGNG27911
PSEX	483	PSEXGNG27912
PSEX	48	PSEXGNG27913
PSEX	89	PSEXGNG27914
PSEX	127	PSEXGNG27915
PSEX	23	PSEXGNG27916
PSEX	196	PSEXGNG27917
PSEX	42	PSEXGNG27918
PSEX	980	PSEXGNG27919
PSEX	730	PSEXGNG27920
PSEX	704	PSEXGNG27921
PSEX	23	PSEXGNG27922
PSEX	1324	PSEXGNG27923
PSEX	132	PSEXGNG27924
PSEX	22	PSEXGNG27925
PSEX	1225	PSEXGNG27926
PSEX	523	PSEXGNG27927
PSEX	48	PSEXGNG27928
PSEX	88	PSEXGNG27929
PSEX	131	PSEXGNG27930
PSEX	64	PSEXGNG27931
PSEX	20	PSEXGNG27932
PSEX	845	PSEXGNG27933
PSEX	20	PSEXGNG27934
PSEX	670	PSEXGNG27935
PSEX	902	PSEXGNG27936
PSEX	44	PSEXGNG27937
PSEX	1221	PSEXGNG27938
PSEX	1480	PSEXGNG27939
PSEX	190	PSEXGNG27940
PSEX	430	PSEXGNG27941
PSEX	69	PSEXGNG27942
PSEX	106	PSEXGNG27943
PSEX	149	PSEXGNG27944
PSEX	1086	PSEXGNG27945
PSEX	1119	PSEXGNG27946
PSEX	389	PSEXGNG27947
PSEX	28	PSEXGNG27948
PSEX	372	PSEXGNG27949
PSEX	44	PSEXGNG27950
PSEX	355	PSEXGNG27951
PSEX	25	PSEXGNG27952
PSEX	192	PSEXGNG27953
PSEX	21	PSEXGNG27954
PSEX	22	PSEXGNG27955
PSEX	114	PSEXGNG27956
PSEX	1602	PSEXGNG27957
PSEX	545	PSEXGNG27958
PSEX	1120	PSEXGNG27959
PSEX	488	PSEXGNG27960
PSEX	665	PSEXGNG27961
PSEX	136	PSEXGNG27962
PSEX	1165	PSEXGNG27963
PSEX	108	PSEXGNG27964
PSEX	223	PSEXGNG27965
PSEX	422	PSEXGNG27966
PSEX	99	PSEXGNG27967
PSEX	143	PSEXGNG27968
PSEX	358	PSEXGNG27969
PSEX	1552	PSEXGNG27970
PSEX	1849	PSEXGNG27971
PSEX	900	PSEXGNG27972
PSEX	823	PSEXGNG27973
PSEX	734	PSEXGNG27974
PSEX	844	PSEXGNG27975
PSEX	1224	PSEXGNG27976
PSEX	65	PSEXGNG27977
PSEX	141	PSEXGNG27978
PSEX	688	PSEXGNG27979
PSEX	77	PSEXGNG27980
PSEX	109	PSEXGNG27981
PSEX	22	PSEXGNG27982
PSEX	1358	PSEXGNG27983
PSEX	2284	PSEXGNG27984
PSEX	88	PSEXGNG27985
PSEX	6	PSEXGNG27986
PSEX	1691	PSEXGNG27987
PSEX	2427	PSEXGNG27723
PSEX	137	PSEXGNG27724
PSEX	567	PSEXGNG27725
PSEX	4055	PSEXGNG27726
PSEX	1330	PSEXGNG27727
PSEX	706	PSEXGNG27728
PSEX	1099	PSEXGNG27729
PSEX	667	PSEXGNG27730
PSEX	712	PSEXGNG27731
PSEX	1053	PSEXGNG27732
PSEX	2199	PSEXGNG27733
PSEX	526	PSEXGNG27734
PSEX	3415	PSEXGNG27735
PSEX	654	PSEXGNG27736
PSEX	42	PSEXGNG27737
PSEX	720	PSEXGNG27738
PSEX	99	PSEXGNG27739
PSEX	69	PSEXGNG27740
PSEX	81	PSEXGNG27741
PSEX	795	PSEXGNG27742
PSEX	616	PSEXGNG27743
PSEX	73	PSEXGNG27744
PSEX	153	PSEXGNG27745
PSEX	350	PSEXGNG27746
PSEX	478	PSEXGNG27747
PSEX	26	PSEXGNG27748
PSEX	37	PSEXGNG27749
PSEX	13	PSEXGNG27750
PSEX	349	PSEXGNG27751
PSEX	3178	PSEXGNG27752
PSEX	551	PSEXGNG27753
PSEX	1143	PSEXGNG27754
PSEX	131	PSEXGNG27755
PSEX	1262	PSEXGNG27756
PSEX	150	PSEXGNG27757
PSEX	64	PSEXGNG27758
PSEX	1848	PSEXGNG27759
PSEX	985	PSEXGNG27760
PSEX	136	PSEXGNG27761
PSEX	312	PSEXGNG27762
PSEX	93	PSEXGNG27763
PSEX	452	PSEXGNG27764
PSEX	14	PSEXGNG27765
PSEX	94	PSEXGNG27766
PSEX	782	PSEXGNG27767
PSEX	49	PSEXGNG27768
PSEX	196	PSEXGNG27769
PSEX	10	PSEXGNG27770
PSEX	57	PSEXGNG27771
PSEX	1328	PSEXGNG27772
PSEX	1206	PSEXGNG27773
PSEX	38	PSEXGNG27774
PSEX	19	PSEXGNG27775
PSEX	339	PSEXGNG27776
PSEX	94	PSEXGNG27777
PSEX	1415	PSEXGNG27778
PSEX	102	PSEXGNG27779
PSEX	87	PSEXGNG27780
PSEX	30	PSEXGNG27781
PSEX	2428	PSEXGNG27782
PSEX	111	PSEXGNG27783
PSEX	42	PSEXGNG27784
PSEX	244	PSEXGNG27785
PSEX	156	PSEXGNG27786
PSEX	93	PSEXGNG27787
PSEX	18	PSEXGNG27788
PSEX	15	PSEXGNG27789
PSEX	996	PSEXGNG27790
PSEX	252	PSEXGNG27791
PSEX	106	PSEXGNG27792
PSEX	444	PSEXGNG27793
PSEX	605	PSEXGNG27794
PSEX	844	PSEXGNG27795
PSEX	370	PSEXGNG27796
PSEX	1249	PSEXGNG27797
PSEX	117	PSEXGNG27798
PSEX	39	PSEXGNG27799
PSEX	69	PSEXGNG27800
PSEX	64	PSEXGNG27801
PSEX	837	PSEXGNG27802
PSEX	184	PSEXGNG27803
PSEX	402	PSEXGNG27804
PSEX	1211	PSEXGNG27805
PSEX	657	PSEXGNG27806
PSEX	116	PSEXGNG27807
PSEX	480	PSEXGNG27808
PSEX	280	PSEXGNG27809
PSEX	1427	PSEXGNG27810
PSEX	387	PSEXGNG27811
PSEX	24	PSEXGNG27812
PSEX	301	PSEXGNG27813
PSEX	137	PSEXGNG27814
PSEX	141	PSEXGNG27815
PSEX	41	PSEXGNG27816
PSEX	20	PSEXGNG27817
PSEX	563	PSEXGNG27818
PSEX	459	PSEXGNG27819
PSEX	13	PSEXGNG27820
PSEX	1140	PSEXGNG27821
PSEX	556	PSEXGNG27822
PSEX	44	PSEXGNG27823
PSEX	14	PSEXGNG27824
PSEX	53	PSEXGNG27825
PSEX	36	PSEXGNG27826
PSEX	1838	PSEXGNG27827
PSEX	104	PSEXGNG27828
PSEX	220	PSEXGNG27829
PSEX	415	PSEXGNG27830
PSEX	379	PSEXGNG27831
PSEX	121	PSEXGNG27832
PSEX	129	PSEXGNG27833
PSEX	51	PSEXGNG27834
PSEX	57	PSEXGNG27835
PSEX	1107	PSEXGNG27836
PSEX	743	PSEXGNG27837
PSEX	345	PSEXGNG27838
PSEX	37	PSEXGNG27839
PSEX	192	PSEXGNG27840
PSEX	304	PSEXGNG27841
PSEX	229	PSEXGNG27842
PSEX	135	PSEXGNG27843
PSEX	34	PSEXGNG27844
PSEX	120	PSEXGNG27845
PSEX	796	PSEXGNG27846
PSEX	149	PSEXGNG27847
PSEX	787	PSEXGNG27848
PSEX	2498	PSEXGNG27849
PSEX	385	PSEXGNG27850
PSEX	293	PSEXGNG28110
PSEX	205	PSEXGNG28111
PSEX	3298	PSEXGNG28112
PSEX	176	PSEXGNG28113
PSEX	38	PSEXGNG28114
PSEX	372	PSEXGNG28115
PSEX	602	PSEXGNG28116
PSEX	955	PSEXGNG28117
PSEX	1519	PSEXGNG28118
PSEX	619	PSEXGNG28119
PSEX	80	PSEXGNG28120
PSEX	19	PSEXGNG28121
PSEX	54	PSEXGNG28122
PSEX	1316	PSEXGNG28123
PSEX	945	PSEXGNG28124
PSEX	33	PSEXGNG28125
PSEX	812	PSEXGNG28126
PSEX	35	PSEXGNG28127
PSEX	11	PSEXGNG28128
PSEX	661	PSEXGNG28129
PSEX	2250	PSEXGNG28130
PSEX	1096	PSEXGNG28131
PSEX	1128	PSEXGNG28132
PSEX	858	PSEXGNG28133
PSEX	1486	PSEXGNG28134
PSEX	234	PSEXGNG28135
PSEX	894	PSEXGNG28136
PSEX	46	PSEXGNG28137
PSEX	200	PSEXGNG28138
PSEX	502	PSEXGNG28139
PSEX	582	PSEXGNG28140
PSEX	865	PSEXGNG28141
PSEX	124	PSEXGNG28142
PSEX	130	PSEXGNG28143
PSEX	76	PSEXGNG28144
PSEX	25	PSEXGNG28145
PSEX	1577	PSEXGNG28146
PSEX	642	PSEXGNG28147
PSEX	794	PSEXGNG28148
PSEX	1093	PSEXGNG28149
PSEX	722	PSEXGNG28150
PSEX	767	PSEXGNG28151
PSEX	788	PSEXGNG28152
PSEX	629	PSEXGNG28153
PSEX	433	PSEXGNG28154
PSEX	312	PSEXGNG28155
PSEX	122	PSEXGNG28156
PSEX	1179	PSEXGNG28157
PSEX	1188	PSEXGNG28158
PSEX	339	PSEXGNG28159
PSEX	68	PSEXGNG28160
PSEX	251	PSEXGNG28161
PSEX	436	PSEXGNG28162
PSEX	1302	PSEXGNG28163
PSEX	893	PSEXGNG28164
PSEX	563	PSEXGNG28165
PSEX	413	PSEXGNG28166
PSEX	1243	PSEXGNG28167
PSEX	1654	PSEXGNG28168
PSEX	143	PSEXGNG28169
PSEX	80	PSEXGNG28170
PSEX	795	PSEXGNG28171
PSEX	23	PSEXGNG28172
PSEX	17	PSEXGNG28173
PSEX	512	PSEXGNG28174
PSEX	153	PSEXGNG28175
PSEX	141	PSEXGNG28176
PSEX	1090	PSEXGNG28177
PSEX	23	PSEXGNG28178
PSEX	266	PSEXGNG28179
PSEX	549	PSEXGNG28180
PSEX	336	PSEXGNG28181
PSEX	428	PSEXGNG28182
PSEX	1960	PSEXGNG28183
PSEX	1013	PSEXGNG28184
PSEX	18	PSEXGNG28185
PSEX	193	PSEXGNG28186
PSEX	129	PSEXGNG28187
PSEX	217	PSEXGNG28188
PSEX	656	PSEXGNG28189
PSEX	135	PSEXGNG28190
PSEX	1022	PSEXGNG28191
PSEX	62	PSEXGNG28192
PSEX	1007	PSEXGNG28193
PSEX	1403	PSEXGNG28194
PSEX	26	PSEXGNG28195
PSEX	770	PSEXGNG28196
PSEX	141	PSEXGNG28197
PSEX	33	PSEXGNG28198
PSEX	164	PSEXGNG28199
PSEX	328	PSEXGNG28200
PSEX	38	PSEXGNG28201
PSEX	118	PSEXGNG28202
PSEX	1992	PSEXGNG28203
PSEX	593	PSEXGNG28204
PSEX	68	PSEXGNG28205
PSEX	20	PSEXGNG28206
PSEX	414	PSEXGNG28207
PSEX	789	PSEXGNG28208
PSEX	480	PSEXGNG28209
PSEX	184	PSEXGNG28210
PSEX	293	PSEXGNG28211
PSEX	1428	PSEXGNG28212
PSEX	76	PSEXGNG28213
PSEX	1823	PSEXGNG28214
PSEX	167	PSEXGNG28215
PSEX	162	PSEXGNG28216
PSEX	68	PSEXGNG28217
PSEX	153	PSEXGNG28218
PSEX	1862	PSEXGNG28219
PSEX	42	PSEXGNG28220
PSEX	56	PSEXGNG28221
PSEX	249	PSEXGNG28222
PSEX	45	PSEXGNG28223
PSEX	963	PSEXGNG28224
PSEX	1065	PSEXGNG28225
PSEX	186	PSEXGNG28226
PSEX	497	PSEXGNG28227
PSEX	1112	PSEXGNG28228
PSEX	34	PSEXGNG28229
PSEX	515	PSEXGNG28230
PSEX	1266	PSEXGNG28231
PSEX	242	PSEXGNG28232
PSEX	233	PSEXGNG28233
PSEX	1043	PSEXGNG28234
PSEX	3714	PSEXGNG28235
PSEX	9620	PSEXGNG27988
PSEX	5032	PSEXGNG27989
PSEX	357	PSEXGNG27990
PSEX	194	PSEXGNG27991
PSEX	692	PSEXGNG27992
PSEX	934	PSEXGNG27993
PSEX	82	PSEXGNG27994
PSEX	1048	PSEXGNG27995
PSEX	37	PSEXGNG27996
PSEX	157	PSEXGNG27997
PSEX	24	PSEXGNG27998
PSEX	55	PSEXGNG27999
PSEX	289	PSEXGNG28000
PSEX	311	PSEXGNG28001
PSEX	926	PSEXGNG28002
PSEX	230	PSEXGNG28003
PSEX	398	PSEXGNG28004
PSEX	87	PSEXGNG28005
PSEX	1376	PSEXGNG28006
PSEX	29	PSEXGNG28007
PSEX	45	PSEXGNG28008
PSEX	196	PSEXGNG28009
PSEX	1199	PSEXGNG28010
PSEX	835	PSEXGNG28011
PSEX	67	PSEXGNG28012
PSEX	80	PSEXGNG28013
PSEX	49	PSEXGNG28014
PSEX	198	PSEXGNG28015
PSEX	52	PSEXGNG28016
PSEX	149	PSEXGNG28017
PSEX	52	PSEXGNG28018
PSEX	608	PSEXGNG28019
PSEX	1105	PSEXGNG28020
PSEX	524	PSEXGNG28021
PSEX	14	PSEXGNG28022
PSEX	86	PSEXGNG28023
PSEX	893	PSEXGNG28024
PSEX	238	PSEXGNG28025
PSEX	891	PSEXGNG28026
PSEX	964	PSEXGNG28027
PSEX	45	PSEXGNG28028
PSEX	91	PSEXGNG28029
PSEX	152	PSEXGNG28030
PSEX	53	PSEXGNG28031
PSEX	108	PSEXGNG28032
PSEX	129	PSEXGNG28033
PSEX	43	PSEXGNG28034
PSEX	25	PSEXGNG28035
PSEX	701	PSEXGNG28036
PSEX	40	PSEXGNG28037
PSEX	13	PSEXGNG28038
PSEX	22	PSEXGNG28039
PSEX	23	PSEXGNG28040
PSEX	35	PSEXGNG28041
PSEX	49	PSEXGNG28042
PSEX	581	PSEXGNG28043
PSEX	1167	PSEXGNG28044
PSEX	29	PSEXGNG28045
PSEX	85	PSEXGNG28046
PSEX	162	PSEXGNG28047
PSEX	271	PSEXGNG28048
PSEX	731	PSEXGNG28049
PSEX	747	PSEXGNG28050
PSEX	87	PSEXGNG28051
PSEX	1311	PSEXGNG28052
PSEX	315	PSEXGNG28053
PSEX	1159	PSEXGNG28054
PSEX	11	PSEXGNG28055
PSEX	38	PSEXGNG28056
PSEX	374	PSEXGNG28057
PSEX	75	PSEXGNG28058
PSEX	263	PSEXGNG28059
PSEX	286	PSEXGNG28060
PSEX	292	PSEXGNG28061
