family	distance	size	phyloscore	alignscore
WGD2ANC03436	11	8	0.7125	1.0
WGD2ANC03453	45	11	0.75	0.7
WGD2ANC03483	45	13	0.515384615385	0.892307692308
WGD2ANC03603	60	12	0.675	0.85
WGD2ANC03636	22	15	0.93	0.653333333333
WGD2ANC03636	44	7	0.757142857143	0.7
WGD2ANC03671	22	18	0.694444444444	0.925
WGD2ANC03671	42	10	0.785	1.0
WGD2ANC03690	337	7	0.55	0.935714285714
WGD2ANC03694	54	15	0.556666666667	0.976666666667
WGD2ANC03699	32	7	0.664285714286	0.964285714286
WGD2ANC03869	112	7	0.342857142857	0.55
WGD2ANC03965	124	11	0.822727272727	0.822727272727
WGD2ANC04128	251	7	0.485714285714	0.878571428571
WGD2ANC04174	50	12	0.741666666667	1.0
WGD2ANC04187	71	8	0.5125	0.7
WGD2ANC04245	50	16	0.725	0.95
WGD2ANC04264	29	10	0.9	0.815
WGD2ANC04356	35	15	0.776666666667	0.796666666667
WGD2ANC04473	24	22	0.695454545455	1.0
WGD2ANC04473	65	8	0.48125	0.96875
WGD2ANC04473	81	13	0.903846153846	0.95
WGD2ANC04473	98	25	0.808	0.63
WGD2ANC04473	125	7	0.814285714286	0.935714285714
WGD2ANC04677	57	7	0.764285714286	1.0
WGD2ANC04783	11	10	0.62	0.755
WGD2ANC04815	62	8	0.80625	0.85625
WGD2ANC04917	14	12	0.725	0.466666666667
WGD2ANC04935	12	13	0.665384615385	0.946153846154
WGD2ANC04946	20	7	0.735714285714	0.35
WGD2ANC04989	2	16	0.8375	0.975
WGD2ANC05162	19	7	0.807142857143	0.914285714286
WGD2ANC05188	43	10	0.755	0.865
WGD2ANC05188	67	10	0.92	0.65
WGD2ANC05217	67	12	0.845833333333	0.516666666667
WGD2ANC05243	183	8	0.61875	0.80625
WGD2ANC05283	10	7	0.771428571429	0.935714285714
WGD2ANC05287	5	28	0.967857142857	0.55
WGD2ANC05311	36	8	0.65	0.61875
WGD2ANC05446	43	7	0.614285714286	0.842857142857
WGD2ANC05453	5	8	0.76875	0.35
WGD2ANC05453	14	7	0.557142857143	0.55
WGD2ANC05475	93	12	0.779166666667	0.8125
WGD2ANC05510	38	10	0.82	0.985
WGD2ANC05510	169	9	0.766666666667	0.6
WGD2ANC05562	42	11	0.545454545455	0.981818181818
WGD2ANC05614	15	8	0.76875	0.85625
WGD2ANC05614	24	10	0.785	0.89
WGD2ANC05654	8	11	0.904545454545	0.927272727273
WGD2ANC05655	8	22	0.831818181818	0.309090909091
WGD2ANC05657	8	12	0.883333333333	1.0
WGD2ANC05674	251	11	0.563636363636	0.222727272727
WGD2ANC05718	149	7	0.557142857143	0.321428571429
WGD2ANC05721	81	7	0.707142857143	1.0
WGD2ANC05721	138	8	0.63125	0.98125
